id,stockId,stockName,stockClass,startDate
919,8462,柏文,觀光事業,2019/03/15
920,8463,潤泰材,其他業,2015/07/13
921,8464,億豐,其他業,2015/12/22
922,8466,美吉吉-KY,其他業,2016/11/01
923,8467,波力-KY,其他業,2015/12/15
924,8473,山林水,其他業,2016/09/08
925,8478,東哥遊艇,其他業,2017/12/11
926,8480,泰昇-KY,其他業,2017/01/17
927,8481,政伸,其他業,2017/02/24
928,8482,商億-KY,其他業,2018/08/15
929,8488,吉源-KY,其他業,2016/12/13
930,8499,鼎炫-KY,其他電子業,2017/11/24
931,8926,台汽電,油電燃氣業,2003/08/25
932,8940,新天地,觀光事業,2009/05/15
933,8996,高力,電機機械,2014/02/14
934,9802,鈺齊-KY,其他業,2012/10/18
935,9902,台火,其他業,1964/07/14
936,9904,寶成,其他業,1990/01/19
937,9905,大華,其他業,1990/08/08
938,9906,欣巴巴,建材營造業,1990/12/15
939,9907,統一實,其他業,1991/01/29
940,9908,大台北,油電燃氣業,1991/02/06
941,9910,豐泰,其他業,1992/02/18
942,9911,櫻花,其他業,1992/07/16
943,9912,偉聯,電腦及週邊設備業,1992/08/08
944,9914,美利達,其他業,1992/09/30
945,9917,中保科,其他業,1993/12/08
946,9918,欣天然,油電燃氣業,1994/04/26
947,9919,康那香,其他業,1994/11/04
948,9921,巨大,其他業,1994/12/29
949,9924,福興,其他業,1995/03/15
950,9925,新保,其他業,1995/12/09
951,9926,新海,油電燃氣業,1998/04/08
952,9927,泰銘,其他業,1999/03/12
953,9928,中視,其他業,1999/08/09
954,9929,秋雨,其他業,1999/06/28
955,9930,中聯資源,其他業,1999/11/22
956,9931,欣高,油電燃氣業,2000/03/21
957,9933,中鼎,其他業,1993/05/28
958,9934,成霖,其他業,2000/09/11
959,9935,慶豐富,其他業,2000/09/11
960,9937,全國,油電燃氣業,2000/09/11
961,9938,百和,其他業,2001/01/12
962,9939,宏全,其他業,2001/03/02
963,9940,信義,其他業,2001/09/17
964,9941,裕融,其他業,2001/09/17
965,9942,茂順,其他業,2002/01/28
966,9943,好樂迪,觀光事業,2002/08/26
967,9944,新麗,其他業,2002/08/26
968,9945,潤泰新,其他業,1992/04/30
969,9946,三發地產,建材營造業,2013/09/17
970,9955,佳龍,其他業,2008/01/21
971,9958,世紀鋼,鋼鐵工業,2008/03/12
